"subject","version","assignmentId","rating","rating2","rating3","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A2WYEOT1O3OXPS","caus_thomas_fire_v6","3TYCR1GOTCKHWG4PFXISNVL6HORZLQ","8","0","8","0,1,2","0","1","1","1",,"19962","2017-10-17 13:59:22","24050"
"A3AIUG6ILEEBI7","caus_thomas_fire_v6","30BUDKLTXDW5JWA8RNO8LWOR7SJ5E3","5","0","7","1,0,2","0","0","1","1",,"13975","2017-10-17 13:59:22","24051"
"A31ZMKF1XY6SFF","caus_thomas_fire_v6","3PDJHANYK5HDMA1OM76JY5Z4V3LH6A","8","1","1","1,2,0","0","0","1","1",,"20661","2017-10-17 13:59:24","24052"
"A3J9JCSAZJIRXI","caus_thomas_fire_v6","3YT88D1N08Z5RHFE9QBI4U3CDTO3KV","8","0","4","1,0,2","0","1","1","1",,"11879","2017-10-17 13:59:27","24053"
"A33QI63NVR8CUO","caus_thomas_fire_v6","3EJPLAJKEMHZDV1ISTCQYC39RT2Z6I","8","8","8","0,1,2","0","1","1","0",,"110275","2017-10-17 13:59:29","24054"
"A1HOEA3Y6W3FPZ","caus_thomas_fire_v6","3ERMJ6L4DYTIIOG4WEROWO7W7057M9","8","0","0","2,1,0","0","0","1","1",,"12755","2017-10-17 13:59:35","24055"
"A3R0V7F5LPVVAH","caus_thomas_fire_v6","3OWEPKL089DO06148F6O93WWCQF7N9","3","5","6","2,0,1","0","1","1","1",,"34760","2017-10-17 13:59:37","24056"
"AQ5KOKZQSZU0B","caus_thomas_fire_v6","3LOZAJ85YDEMQZI249C2BE6M3O32X8","0","8","6","2,1,0","0","0","1","0",,"17448","2017-10-17 13:59:42","24057"
"A2TZRIS9XFZ18U
A2TZRIS9XFZ18U","caus_thomas_fire_v6","35DR22AR5DLBBHEL89Q7UOBE9233XK","8","0","8","1,0,2","0","0","1","1",,"22893","2017-10-17 13:59:50","24058"
"A1J21DM2Z753X4","caus_thomas_fire_v6","3BV8HQ2ZZW2YCNTAG1WRHJC0I8WA6T","8","0","4","2,1,0","0","0","1","1",,"18730","2017-10-17 13:59:52","24059"
"A13T1T1VPOCMD3","caus_thomas_fire_v6","3XUHV3NRVKZH361AHOWE6ZL4Z8B5HJ","2","8","8","2,0,1","0","1","1","0",,"18182","2017-10-17 13:59:55","24060"
"A1KRNEYC4GNNCA","caus_thomas_fire_v6","30IQTZXKAK7FUPFOPM8OSQD76QIX0I","6","2","8","1,0,2","0","1","1","1",,"23862","2017-10-17 14:00:03","24061"
"A2YAZATN6OGRDR","caus_thomas_fire_v6","3Z7VU45IPYI4690LMN093GCSJIN1ZN","5","5","2","2,1,0","0","1","1","0",,"27166","2017-10-17 14:00:05","24062"
"A1UZTQPGT1XHYF
","caus_thomas_fire_v6","3Z4AIRP3C6EF1E06L5CO6VWHBIP1XQ","4","7","7","2,1,0","0","1","1","1",,"35088","2017-10-17 14:00:05","24063"
"AJCHSQEDGHIMQ","caus_thomas_fire_v6","3A4TN5196KJ22RAPWYJMK5RERPXCHY","5","0","5","2,1,0","0","1","1","1",,"24863","2017-10-17 14:00:10","24064"
"A3HTLXAPOBCVVO","caus_thomas_fire_v6","32SCWG5HIH55ZRZC5KEO7E1VHUW6P5","0","8","8","1,2,0","0","1","1","0",,"28145","2017-10-17 14:00:10","24065"
"A2ZTXC0WB8DPJP","caus_thomas_fire_v6","3KGTPGBS6XMU9VO7Z41FR77I96M2UG","8","0","8","0,2,1","0","0","1","1",,"27463","2017-10-17 14:00:13","24066"
"A1ZD8RU6YB0VEU","caus_thomas_fire_v6","3LYA37P8IQOAUCJROJQOMD1O1L1KB3","0","7","7","0,2,1","0","1","1","0",,"23206","2017-10-17 14:00:16","24067"
"A18IOD8JQLSIQ2","caus_thomas_fire_v6","38JBBYETQOBNND68DI5YG4ID7WO4EX","0","8","8","1,2,0","0","1","1","0",,"29654","2017-10-17 14:00:16","24068"
"AA4O2W236E3FW","caus_thomas_fire_v6","3K3R2QNK8B459F96KDGU1UFWFCW9UF","4","7","5","1,2,0","0","0","1","1",,"32025","2017-10-17 14:00:18","24069"
"A367GMQ1MK9N0B","caus_thomas_fire_v6","36TFCYNS44BQ5PLKNUF9YICOS7KXHK","6","4","0","0,2,1","0","0","1","1",,"36884","2017-10-17 14:00:20","24070"
"A3S1YTO9FEKQUV","caus_thomas_fire_v6","32VNZTT0A75CWHBDZOPYFBHWMLE4RA","8","8","8","1,2,0","0","1","1","1",,"26970","2017-10-17 14:00:22","24071"
"AZEGZ5ZVM6P5A","caus_thomas_fire_v6","3F6KKYWMNB24HF2EZS9A9V6SY1IDN8","5","5","8","0,1,2","0","1","1","1",,"9014","2017-10-17 14:00:28","24072"
"A30WRV40L5NFYS","caus_thomas_fire_v6","3J88R45B2GZII6J867NE7REFEYUXPP","7","0","3","1,2,0","0","0","1","1",,"14615","2017-10-17 14:00:29","24073"
"A173E26N947Q7A","caus_thomas_fire_v6","3TPWUS5F892KZH5ERX5ML8116DACWY","8","0","8","1,0,2","0","1","1","1",,"12039","2017-10-17 14:00:34","24074"
"A2V4PRG5UBNIX0","caus_thomas_fire_v6","345LHZDEDXTJUDKQ34FKAHCAFKM3US","5","5","1","2,0,1","0","0","1","1",,"23861","2017-10-17 14:00:38","24075"
"A1AUT20SM6AI4Y","caus_thomas_fire_v6","3B837J3LDOXVY2DOPPLGDEX201HSR5","6","0","2","0,2,1","0","0","1","1",,"21334","2017-10-17 14:00:39","24076"
"A1SVQ3U72FDUFY","caus_thomas_fire_v6","3X3OR7WPZZ12CK3267IFABO2IFL8LV","8","0","0","1,2,0","0","0","1","1",,"18419","2017-10-17 14:00:41","24077"
"A1JCKICNOC7DAB","caus_thomas_fire_v6","3MX2NQ3YC9VEPW1PMSE09L9YNYU5XC","8","0","8","1,0,2","0","0","1","1",,"18074","2017-10-17 14:00:45","24078"
"AR4UI9K92BUT3","caus_thomas_fire_v6","3L4PIM1GQTHSUOPXOVD5V0L3HMCRYH","4","4","4","1,2,0","0","1","1","0",,"52966","2017-10-17 14:00:46","24079"
"A3OEFJ2GS3VPVT","caus_thomas_fire_v6","3E337GFOL997TZC51IAIFG9PBTYNGS","8","8","8","1,0,2","0","1","1","0",,"17357","2017-10-17 14:00:48","24080"
"A241PV6A122I5X","caus_thomas_fire_v6","351SEKWQS0IYZXHENRUAWGHSTB8DM8","0","7","7","1,0,2","0","1","1","0",,"9340","2017-10-17 14:00:48","24081"
"A25VHX1PUAHR4T","caus_thomas_fire_v6","3ZAZR5XV01JOTCAJ2KPTKCVJNFDZCA","8","0","0","1,0,2","0","1","1","1",,"47319","2017-10-17 14:00:50","24082"
"AK7QYK3WKTWWZ","caus_thomas_fire_v6","3PM8NZGV8YH3IIKN6K237W4PJUGXQG","5","1","5","2,0,1","0","0","1","1",,"17676","2017-10-17 14:00:59","24083"
"A1R0689JPSQ3OF","caus_thomas_fire_v6","3RJSC4XJ10V6S6VEJGPT07MNDR905C","0","4","7","1,2,0","0","0","1","0",,"19513","2017-10-17 14:01:00","24084"
"AAQREZOK13OV7","caus_thomas_fire_v6","3X4JMASXCMA8HMCNKQG63TMFNNVB0O","0","6","4","1,2,0","0","0","1","0",,"11835","2017-10-17 14:01:02","24085"
"A1QUBLZCONL4QD","caus_thomas_fire_v6","35K3O9HUABEXLT3XXZ1H78F4WMXFEW","8","8","8","0,2,1","0","1","1","1",,"17596","2017-10-17 14:01:02","24086"
"ALOX6TS3BTQ7W","caus_thomas_fire_v6","338JKRMM260E9CDRCKNVEA1QRMCAHU","7","0","7","2,1,0","0","1","1","1",,"24180","2017-10-17 14:01:06","24087"
"A2UKCO1M1MEMZW","caus_thomas_fire_v6","39O5D9O87TTN8J3QHDUKGBQ48KFC3R","6","0","8","1,0,2","0","1","1","1",,"36764","2017-10-17 14:01:12","24088"
"A3C2J2DZDXKV34","caus_thomas_fire_v6","3TXMY6UCAEPFFK9SFO6GTJJFICTQC8","3","5","0","1,0,2","0","0","1","0",,"23911","2017-10-17 14:01:17","24089"
"A2RR04JS69Z5LE
","caus_thomas_fire_v6","3SKEMFQBZ36RSELKL76EVBBNTFGK84","7","7","7","2,0,1","0","1","1","1",,"13807","2017-10-17 14:01:18","24090"
"AOSO1D81K0ET0","caus_thomas_fire_v6","3N4BPTXIO8TPQBSXOA7JR3TCQ68KUK","6","6","3","1,0,2","0","1","1","0",,"24651","2017-10-17 14:01:22","24091"
"A3QN9B9ZS1CWWM","caus_thomas_fire_v6","3G5F9DBFOPYY10GPNFERAXF3CWDVHG","8","1","5","2,0,1","0","0","1","1",,"27652","2017-10-17 14:01:30","24092"
"A1V8MSGK7CVD8B","caus_thomas_fire_v6","3YOH7BII098P3QHXT0HONPVV4DHVKK","1","8","5","0,1,2","0","0","1","0",,"20319","2017-10-17 14:01:32","24093"
"A1PBRKFHSF1OF8","caus_thomas_fire_v6","3D3VGR7TA0GRELS9ZAKF56PQ8LIR3C","5","6","8","2,0,1","0","1","1","1",,"19584","2017-10-17 14:01:43","24094"
"A389LTO1Q8DAKN","caus_thomas_fire_v6","3JWH6J9I9SEB2I4ULWI4E5ISVG6BNZ","0","-1","8","1,0,2","0","0","1","0",,"11124","2017-10-17 14:02:00","24095"
"ADHWRZIW3GIVU","caus_thomas_fire_v6","34V1S5K3GS2K74J5OVIRLO1GCQE96D","8","0","8","0,1,2","0","1","1","1",,"100626","2017-10-17 14:02:02","24096"
"A28QK3JT9YQ1XU","caus_thomas_fire_v6","3DUZQ9U6SMPNR9U5Y9QQEBM5L7UVS1","7","7","8","1,0,2","0","0","1","0",,"13285","2017-10-17 14:02:06","24097"
"AJRY9ALX8069Y","caus_thomas_fire_v6","3KGTPGBS6XMU9VO7Z41FR77I96LU27","7","2","8","0,1,2","0","0","1","1",,"15121","2017-10-17 14:02:13","24098"
"A21P1T8EW4NHOU","caus_thomas_fire_v6","3IHR8NYAM72RK4VYMWL9AGHHL3PP42","7","1","7","1,2,0","0","0","1","1",,"15002","2017-10-17 14:02:17","24099"
"A35P8YSNTQ7OTP","caus_thomas_fire_v6","31QTRG6Q2TE7IB9IB39GQ5LOG4PYPX","0","0","0","2,1,0","0","1","1","1",,"15389","2017-10-17 14:02:24","24100"
"A3NUYAG56BPYBB","caus_thomas_fire_v6","3QRYMNZ7FYIBY4YBLI9PEZOE1N5TN6","8","0","8","1,2,0","0","0","1","1",,"16680","2017-10-17 14:02:29","24101"
"A3M3WWNSQZN6QK","caus_thomas_fire_v6","3TDXMTX3CBVDI5C8SPO4YH0JVG1I65","0","8","4","0,2,1","0","0","1","0",,"33049","2017-10-17 14:02:30","24102"
"AY7WPVKHVNBLG","caus_thomas_fire_v6","3JRJSWSMQHM25HN4D40F6ZQ7TWSE3M","1","6","8","1,2,0","0","0","1","0",,"21016","2017-10-17 14:02:33","24103"
"A2OHGSJXE6X2MT","caus_thomas_fire_v6","39O5D9O87TTN8J3QHDUKGBQ48KF3CI","7","0","5","1,2,0","0","0","1","1",,"81788","2017-10-17 14:02:34","24104"
" AEH6O45O7QKVP","caus_thomas_fire_v6","3SB5N7Y3O35483KY0C8K44DC30NG0A","8","0","4","1,0,2","0","0","1","1",,"25322","2017-10-17 14:02:35","24105"
"A2HTN7HCNBQ8V4","caus_thomas_fire_v6","3EWIJTFFVO86OPO7UHIW41S0QK8E0R","3","5","4","1,2,0","0","0","1","1",,"21896","2017-10-17 14:02:38","24106"
"A3OTWE5F9F6NEK
","caus_thomas_fire_v6","3EJJQNKU9R668TZ8EV9H90Q0RQ0RHJ","8","8","0","2,0,1","0","0","1","0",,"20748","2017-10-17 14:02:48","24107"
"A1F79H8MQ13RI0 ","caus_thomas_fire_v6","3WYP994K17SZ85RDW7A7K5U7LZZY6R","0","8","0","0,1,2","0","1","1","0",,"27551","2017-10-17 14:02:51","24108"
"A33ZB4QX4Y96WN","caus_thomas_fire_v6","3TXWC2NHNZRPU2H2V8LUMTX8UFBS9I","5","4","3","2,1,0","0","1","1","1",,"4701","2017-10-17 14:02:54","24109"
"A3TMQ9HAX6LIEM","caus_thomas_fire_v6","3NQL1CS15R9KNV6EXFIFWXA62SQYVI","0","8","0","2,0,1","0","1","1","0",,"21985","2017-10-17 14:02:55","24110"
"A1DUPOUC9RNU4L","caus_thomas_fire_v6","31EUONYN2V48TH2CRS9HU6C4OIROVX","1","7","8","0,1,2","0","0","1","0",,"28865","2017-10-17 14:03:08","24111"
"A3HSQFNT76K5TF","caus_thomas_fire_v6","3UN61F00HWQUS0FDDT88K3NAMH8R51","8","8","0","2,1,0","0","1","1","1",,"32966","2017-10-17 14:03:10","24112"
"AQIHP9D5DG5J","caus_thomas_fire_v6","39U1BHVTDLS4U0513ZPA5LQ8W6G3T2","7","7","6","1,0,2","0","1","1","0",,"11881","2017-10-17 14:03:13","24113"
"A2DC7EBSBUVUQ","caus_thomas_fire_v6","3H7XDTSHKCSXGTLJTJ15BZMG452GWC","8","1","8","0,2,1","0","1","1","1",,"25454","2017-10-17 14:03:15","24114"
"A12YGHUPJN155L","caus_thomas_fire_v6","3570Y55XZPK15YGJ8KJTWW7WFD2GYB","8","0","8","1,0,2","0","0","1","1",,"20120","2017-10-17 14:03:18","24115"
"A1NSWJKFJIZ06J","caus_thomas_fire_v6","31QTRG6Q2TE7IB9IB39GQ5LOG4OYPW","2","5","6","1,0,2","0","0","1","0",,"12942","2017-10-17 14:03:18","24116"
"A3O2JUIF4DZQJU","caus_thomas_fire_v6","32VNZTT0A75CWHBDZOPYFBHWMLER4X","5","0","8","2,0,1","0","1","1","1",,"74983","2017-10-17 14:03:22","24117"
"AW5O1RK3W60FC","caus_thomas_fire_v6","3WJ1OXY92AHLG1CY9GTP1X8RO3MA8F","0","8","8","1,0,2","0","1","1","0",,"98147","2017-10-17 14:03:28","24118"
"A3L3LUTEQPJN86","caus_thomas_fire_v6","3URFVVM165JKF6RJOBATEIHPUFKZUK","8","0","8","0,2,1","0","1","1","1",,"19186","2017-10-17 14:03:50","24119"
"A1MHKBAGZN1P8K","caus_thomas_fire_v6","3JAOYWH7VI52QPMCBZOTA7JD2L49LM","6","6","6","0,1,2","0","1","1","1",,"22988","2017-10-17 14:03:50","24120"
"A2DA5SD0IQEPBI
","caus_thomas_fire_v6","3483FV8BEEK97KY63M3CB1T26K526F","8","0","8","1,0,2","0","1","1","1",,"14356","2017-10-17 14:03:55","24121"
"A2OXE5D9A7KSGW","caus_thomas_fire_v6","3M0NZ3JDP1Z3UR14NA2L66P9VYSZ53","8","0","4","1,0,2","0","1","1","1",,"21334","2017-10-17 14:03:56","24122"
"A2XKRQ2IM5XS9A","caus_thomas_fire_v6","3QY5DC2MXRLEAP0JNZGMBQ17IARUFS","8","8","8","0,1,2","0","1","1","1",,"26799","2017-10-17 14:03:59","24123"
"A3AW92ZT3WY05A","caus_thomas_fire_v6","33SA9F9TRXVZWFPSNOBHBW14RPOEWU","8","0","8","0,1,2","0","0","1","1",,"23503","2017-10-17 14:04:01","24124"
"A1NJ0J3SCP668A","caus_thomas_fire_v6","3GNCZX450IO6MTBFVXV0NJ3HDDMPAE","0","4","4","0,2,1","0","1","1","0",,"26704","2017-10-17 14:04:01","24125"
"A221L64A30LW7Z","caus_thomas_fire_v6","3MD9PLUKKIF7KG7ARAY70NPVMJSZNT","0","8","8","1,2,0","0","0","1","0",,"16142","2017-10-17 14:04:07","24126"
"A1KTPYX40PRLVW","caus_thomas_fire_v6","374TNBHA8BWSINAXBGO5QABYL0AYQN","8","8","4","2,1,0","0","0","1","1",,"22911","2017-10-17 14:04:07","24127"
"A391XEEZC675S","caus_thomas_fire_v6","3S3AMIZX3U6LQB5NA20WTKCGZX5CDQ","0","8","4","0,1,2","0","1","1","0",,"17724","2017-10-17 14:04:14","24128"
"AUG2YR37BY9BK","caus_thomas_fire_v6","3RANCT1ZVFIOX8O3IXUQS0AM3CZUBA","1","7","6","0,2,1","0","0","1","1",,"33323","2017-10-17 14:04:24","24129"
" A2PNMIDHOYL2KN","caus_thomas_fire_v6","3HYA4D452RK5QDRH4F6G576FZJ82FI","4","4","1","0,2,1","0","0","1","1",,"22840","2017-10-17 14:04:28","24130"
"A2FVBM2LXBFCKP","caus_thomas_fire_v6","3NS0A6KXC491AOQO46LCA3GYL76GZ2","8","8","0","0,2,1","0","1","1","1",,"37138","2017-10-17 14:04:31","24131"
"A3JT22BLG866CK","caus_thomas_fire_v6","3WYP994K17SZ85RDW7A7K5U7LZZ6YZ","8","8","7","2,1,0","0","1","1","0",,"15896","2017-10-17 14:04:35","24132"
"AV182SXSO370E","caus_thomas_fire_v6","3D4CH1LGEAUM4X8B08RDXFE564HG9M","8","2","1","2,1,0","0","0","1","0",,"59464","2017-10-17 14:04:37","24133"
"A2LFT9N17HS9FX","caus_thomas_fire_v6","3IQ1VMJRYTLLU6V8E8Z31T32894A94","5","5","3","1,2,0","0","1","1","1",,"12638","2017-10-17 14:04:39","24134"
"A33B85TN97HQ33","caus_thomas_fire_v6","3A4TN5196KJ22RAPWYJMK5RERPYCHZ","0","6","4","2,0,1","0","1","1","0",,"27960","2017-10-17 14:04:42","24135"
"A2JWAD9JQNA5ON","caus_thomas_fire_v6","304SM51WA358IVWZTSZQDZSYIFESBS","8","8","0","1,2,0","0","0","1","0",,"16829","2017-10-17 14:04:43","24136"
"A3JT9LHWLFHNS8
","caus_thomas_fire_v6","3EQHHY4HQST33A6ZXIEWLZ93K8Y5GK","8","0","8","1,2,0","0","1","1","1",,"17983","2017-10-17 14:04:45","24137"
"A2EABC3X5VMZ95","caus_thomas_fire_v6","3IAS3U3I0FHFDWF1ZDKKMHFUKLG2B0","2","6","8","1,0,2","0","0","1","0",,"17187","2017-10-17 14:04:49","24138"
"A229YGAMHVF77H","caus_thomas_fire_v6","3R8YZBNQ9HJ933EWO7Y5DXR1H12Q7F","6","7","4","0,2,1","0","1","1","1",,"21840","2017-10-17 14:05:10","24139"
"A3EEMZ0K3T47QZ","caus_thomas_fire_v6","3QIYRE09Y3IAPKM2JZPF8T5J94F1N6","8","0","8","2,0,1","0","1","1","1",,"15515","2017-10-17 14:05:14","24140"
"A23WT7XWIML8KH","caus_thomas_fire_v6","39GXDJN2OTF58PFWKBKLXKM49DN8VE","8","8","8","1,2,0","0","0","1","0",,"8724","2017-10-17 14:05:16","24141"
"AMPBSSN039C35","caus_thomas_fire_v6","3LQ8PUHQFLTTFUWPO8F8V8P94UHIH6","8","8","8","2,0,1","0","1","1","1",,"159778","2017-10-17 14:05:17","24142"
"ATUWQRSJAZQMH","caus_thomas_fire_v6","3R2UR8A0IAH0X677R7AZIR9P4TZXO9","7","0","7","1,0,2","0","0","1","1",,"39842","2017-10-17 14:05:24","24143"
"A1N3J21E6L4VVO","caus_thomas_fire_v6","3Q5ZZ9ZEVOGOAV0HEK28TMS5WPM585","6","1","6","0,1,2","0","0","1","1",,"24462","2017-10-17 14:05:24","24144"
"A3G6L97AX9KR7F","caus_thomas_fire_v6","3DUZQ9U6SMPNR9U5Y9QQEBM5L7USVY","0","8","4","0,1,2","0","1","1","0",,"48243","2017-10-17 14:05:29","24145"
"A1CM612SSQU5L","caus_thomas_fire_v6","3YOH7BII098P3QHXT0HONPVV4DIKVA","8","8","8","2,1,0","0","0","1","0",,"18789","2017-10-17 14:05:30","24146"
"A2AVYMFZ8GZPJ4","caus_thomas_fire_v6","3RU7GD8VPOUAMPX9CXHR8JXNZJTSPD","0","8","0","2,1,0","0","0","1","0",,"81149","2017-10-17 14:05:30","24147"
"A2JZP4AZI1RTG4","caus_thomas_fire_v6","3YWRV122CS05VAQWFLAG1YKLV6E8UP","6","0","1","2,0,1","0","0","1","1",,"13361","2017-10-17 14:05:36","24148"
