"subject","version","assignmentId","cc1","cc2","experienced","stamp","id"
"A1LOD3LNX7FUPJ","caus_thomas_boxes_v1","30BUDKLTXDW5JWA8RNO8LWOR53J5EN","Yes","Yes","No","2017-10-03 18:23:50","788"
"A39ROW50DWRRKT","caus_thomas_boxes_v1","30LSNF239UWP04T75NC184J7DMZ2IS","No","Yes","No","2017-10-03 18:23:52","789"
"A05977571SZ38O16ESGP8","caus_thomas_boxes_v1","3LOZAJ85YDEMQZI249C2BE6M1Z2X2M","No","Yes","No","2017-10-03 18:24:06","790"
"A1DBPM1UHEP4MU","caus_thomas_boxes_v1","3PZDLQMM0TMYN177DDGFX1LC0HF2CQ","No","Yes","No","2017-10-03 18:24:09","791"
"AMPMTF5IAAMK8","caus_thomas_boxes_v1","3P59JYT76LLF9I9IZZB5MBLGO3ET2Z","No","Yes","No","2017-10-03 18:24:18","792"
"A13UMY3NL33676","caus_thomas_boxes_v1","30IQTZXKAK7FUPFOPM8OSQD741IX02","No","No","No","2017-10-03 18:24:25","793"
"A2HOUSKURBF8UA","caus_thomas_boxes_v1","3FTYUGLFSUM0RQW8VSDOFE665RI5DU","No","Yes","Not sure","2017-10-03 18:24:59","794"
"YALE_2017","caus_thomas_boxes_v1","3UOUJI6MTDFVABR4NTM8HX1EKQMUX2","No","Yes","Yes","2017-10-03 18:25:02","795"
"A1NKBXOTZAI1YK","caus_thomas_boxes_v1","3FPRZHYEPY8J7S9Q8UPP63ETR2UV3S","No","Yes","No","2017-10-03 18:25:32","796"
"A0657006AJFWB5ZA91B2","caus_thomas_boxes_v1","340UGXU9DY236MM9NELQTC4T4FEUVZ","No","Yes","No","2017-10-03 18:25:49","797"
"A9O273N0X06JS","caus_thomas_boxes_v1","36PW28KO4ZX2P2MPMJFPT74DXHKAEY","No","Yes","No","2017-10-03 18:26:21","798"
"A2AAG78CGKX2U5","caus_thomas_boxes_v1","33PPUNGG386SZEZ2KHFO97U5LRGZR0","Yes","No","Yes","2017-10-03 18:26:31","799"
"A2LFT9N17HS9FX","caus_thomas_boxes_v1","3YMTUJH0DSHPCWO53DUTFQIE8HAT4V","No","Yes","No","2017-10-03 18:27:39","800"
"AADDOP3FHMAV1","caus_thomas_boxes_v1","3IOEN3P9S7K2IZGAKI3Y6IJXCPQ61L","No","Yes","No","2017-10-03 18:28:10","801"
"A1YGENVE7OI5JL","caus_thomas_boxes_v1","3JBT3HLQF837N1JN7PBZ4CUQK9SPZY","No","Yes","No","2017-10-03 18:29:23","802"
"A1L92Y6VBTRFP5","caus_thomas_boxes_v1","3FE7TXL1LIO2H2HQIVHAH6AT4WFQ2I","Yes","No","No","2017-10-03 18:29:32","803"
"A2WCDQDLMC6J72","caus_thomas_boxes_v1","3QHK8ZVMIMJLEI199J2P1DE3OW6LBR","No","Yes","No","2017-10-03 18:30:39","804"
"A1T79J0XQXDDGC","caus_thomas_boxes_v1","3C6FJU71TQUKAGHESP8A0B8NMWHYUD","No","Yes","No","2017-10-03 18:38:54","805"
"A2IQ0QCTQ3WLT","caus_thomas_boxes_v1","3EQHHY4HQST33A6ZXIEWLZ93IJZ5G5","No","Yes","No","2017-10-03 18:40:38","806"
"A3FAH5S2RGZ5AK","caus_thomas_boxes_v1","3JW0YLFXRTHTDFBJ8O5NX284W4RWWA","No","Yes","No","2017-10-03 18:42:54","807"
"A35SC4D5YNJGOW","caus_thomas_boxes_v1","3TGOYF991XN3T7X9IOBLXQ2AQ85UUA","No","Yes","No","2017-10-03 18:54:57","808"
"A2WU2OBJC98WQP","caus_thomas_boxes_v1","3Q8GYXHFEP3QMYQUVWIDV8OOKR65CU","No","Yes","No","2017-10-03 18:55:48","809"
"A2LF84L3K71GR2","caus_thomas_boxes_v1","3W92K5RLWUIML7WUMDDIL0CD5YLV5I","No","Yes","Yes","2017-10-03 18:59:00","810"
"asda","caus_thomas_boxes_v1",,"No","No","No","2017-10-03 19:09:18","811"
"A1U6A617Q95MTZ","caus_thomas_boxes_v1","3QECW5O0KH278FS5HID3KIOS8D5T50","No","No","Not sure","2017-10-03 19:10:44","812"
"A4J4GGMKJ68L0","caus_thomas_boxes_v1","3PEIJLRY6TU82FG9IT19ZLMB56XWX3","No","Yes","No","2017-10-03 19:13:37","813"
